순번,자치구,주소,시리얼번호,경도,위도,지면높이
1,구로구,서울특별시 구로구 궁동 212-15,V02Q1940046,126.831472122,37.494402621,3.1
2,구로구,서울특별시 구로구 신도림동 292-212,V02Q1940111,126.878380050,37.509299493,4.1
3,구로구,서울특별시 구로구 오류동 38-29,V02Q1940165,126.843727057,37.496891978,4.2
4,구로구,서울특별시 구로구 오류동 182-22,V02Q1940056,126.838527418,37.487430327,3.8
5,구로구,서울특별시 구로구 가리봉동 110-16,V02Q1940047,126.889338873,37.482144782,3.8
6,구로구,서울특별시 구로구 개봉동 139-54,V02Q1940050,126.850773326,37.499541706,3.3
7,구로구,서울특별시 구로구 개봉동 328-23,V02Q1940054,126.855377723,37.490491176,3.8
8,구로구,서울특별시 구로구 개봉동 375-4,V02Q1940051,126.853709582,37.484557315,3.4
9,구로구,서울특별시 구로구 고척동 73-3,V02Q1940086,126.863310732,37.497754034,3.7
10,구로구,서울특별시 구로구 고척동 283-2,V02Q1940065,126.858610249,37.505683034,3.7
11,구로구,서울특별시 구로구 구로동 1259,V02Q1940045,126.876439453,37.489587945,3.5
12,구로구,서울특별시 구로구 구로동 704-13,V02Q1940043,126.883553746,37.490028638,3.8
13,구로구,서울특별시 구로구 구로동 777-34,V02Q1940052,126.889626281,37.487180792,3.7
14,구로구,서울특별시 구로구 구로동 317-20,V02Q1940044,126.889155382,37.491831149,3.8
15,구로구,서울특별시 구로구 구로동 50-9,V02Q1940055,126.892396674,37.501113794,3.1
16,구로구,서울특별시 구로구 개봉동 480,V02Q1940083,126.860779702,37.491370956,3.7
17,구로구,서울특별시 구로구 구로동 426-83,V02Q1940073,126.884076842,37.493826068,3.7
18,구로구,서울특별시 구로구 항동 1-10,V02Q1940070,126.823712057,37.486832676,3.9
19,구로구,서울특별시 구로구 구로동 733-28,V02Q1940136,126.884839411,37.489467486,4.2
20,구로구,서울특별시 구로구 구로동 735-16,V02Q1940862,126.885115720,37.488878537,3.5
21,구로구,서울특별시 구로구 구로동 762,V02Q1940858,126.885138117,37.488216158,4
22,구로구,서울특별시 구로구 고척동 291-1,V02Q1940140,126.851040478,37.502484707,4.4
23,구로구,서울특별시 구로구 고척동 291-1,V02Q1940515,126.850769667,37.501748618,4.2
24,구로구,서울특별시 구로구 개봉동 416-2,V02Q1940057,126.845127433,37.505264288,3.5
25,구로구,서울특별시 구로구 구로동 614-3,V02Q1940061,126.874621662,37.505279963,3.8
26,구로구,서울특별시 구로구 온수동 53-11,V02Q1940090,126.823131106,37.491671862,4.5
27,구로구,서울특별시 구로구 구로동 105-1,V02Q1940751,126.889502495,37.498488698,1
28,동대문구,서울특별시 동대문구 전농동 산 32-20,V02Q1940084,127.062435444,37.578375170,3.8
29,동대문구,서울특별시 동대문구 제기동 190-14,V02Q1940118,127.031492377,37.582389091,4.2
30,동대문구,서울특별시 동대문구 청량리동 49-1,V02Q1940122,127.047911727,37.585715992,4.1
31,동대문구,서울특별시 동대문구 회기동 3-2,V02Q1940089,127.054625269,37.591920242,4.4
32,동대문구,서울특별시 동대문구 휘경동 183-452,V02Q1940099,127.056930217,37.590513804,3.6
33,동대문구,서울특별시 동대문구 휘경동 368-2,V02Q1940109,127.067112341,37.590780051,3.6
34,동대문구,서울특별시 동대문구 용두동 792-6,V02Q1940049,127.036277298,37.576689908,3.5
35,동대문구,서울특별시 동대문구 이문동 354-18,V02Q1940115,127.065557335,37.598042814,3.3
36,동대문구,서울특별시 동대문구 이문동 357,V02Q1940108,127.065531590,37.603444027,3.6
37,동대문구,서울특별시 동대문구 장안동 478-11,V02Q1940085,127.065888469,37.568335627,3.4
38,동대문구,서울특별시 동대문구 전농동 679,V02Q1940106,127.047193641,37.577580837,4.1
